principal_diagnostic,icd_code
Compresiones de las raíces y plexos nerviosos en la espondilosis (M47.–),G552
"Compresiones de las raíces y plexos nerviosos en otras dorsopatías (M45–M46, M48.–, M53–M54)",G553
Compresiones de las raíces y plexos nerviosos en otras enfermedades clasificadas en otra parte,G558
Mononeuropatías del miembro superior,G56
Síndrome del túnel carpiano,G560
Otras lesiones del nervio mediano,G561
Lesión del nervio cubital,G562
Lesión del nervio radial,G563
Causalgia,G564
Otras mononeuropatías del miembro superior,G568
"Mononeuropatía del miembro superior, sin otra especificación",G569
Mononeuropatías del miembro inferior,G57
Lesión del nervio ciático,G570
Meralgia parestésica,G571
Lesión del nervio crural,G572
Lesión del nervio ciático poplíteo externo,G573
Lesión del nervio ciático poplíteo interno,G574
Síndrome del túnel calcáneo,G575
Lesión del nervio plantar,G576
Otras mononeuropatías del miembro inferior,G578
"Mononeuropatía del miembro inferior, sin otra especificación",G579
Otras mononeuropatías,G58
Neuropatía intercostal,G580
Mononeuritis múltiple,G587
Otras mononeuropatías especificadas,G588
"Mononeuropatía, no especificada",G589
Mononeuropatía en enfermedades clasificadas en otra parte,G59
Mononeuropatía diabética (E10–E14 con cuarto carácter común .4),G590
Otras mononeuropatías en enfermedades clasificadas en otra parte,G598
Neuropatía hereditaria e idiopática,G60
Neuropatía hereditaria motora y sensorial,G600
Enfermedad de Refsum,G601
Neuropatía asociada con ataxia hereditaria,G602
Neuropatía progresiva idiopática,G603
Otras neuropatías hereditarias e idiopáticas,G608
"Neuropatía hereditaria e idiopática, sin otra especificación",G609
Polineuropatía inflamatoria,G61
Síndrome de Guillain–Barré,G610
Neuropatía al suero,G611
Otras polineuropatías inflamatorias,G618
"Polineuropatía inflamatoria, no especificada",G619
Otras polineuropatías,G62
Polineuropatía inducida por drogas,G620
Polineuropatía alcohólica,G621
Polineuropatía debida a otro agente tóxico,G622
Otras polineuropatías especificadas,G628
"Polineuropatía, no especificada",G629
Polineuropatías en enfermedades clasificadas en otra parte,G63
Polineuropatía en enfermedades infecciosas y parasitarias clasificadas en otra parte,G630
Polineuropatía en enfermedad neoplásica (C00–D48),G631
Polineuropatía diabética (E10–E14 con cuarto carácter común .4),G632
"Polineuropatía en otras enfermedades endocrinas y metabólicas (E00–E07, E15–E16, E20–E34, E70–E89)",G633
Polineuropatía en deficiencia nutricional (E40–E64),G634
Polineuropatía en trastornos del tejido conectivo sistémico (M30–M35),G635
"Polineuropatía en otros trastornos osteomusculares (M00–M25, M40–M96)",G636
Polineuropatía en otras enfermedades clasificadas en otra parte,G638
Otros trastornos del sistema nervioso periférico,G64
Miastenia gravis y otros trastornos neuromusculares,G70
Miastenia gravis,G700
Trastornos tóxicos neuromusculares,G701
Miastenia congénita o del desarrollo,G702
Otros trastornos neuromusculares especificados,G708
"Trastorno neuromuscular, no especificado",G709
Trastornos musculares primarios,G71
Distrofia muscular,G710
Trastornos miotónicos,G711
Miopatías congénitas,G712
"Miopatía mitocóndrica, no clasificada en otra parte",G713
Otros trastornos primarios de los músculos,G718
"Trastorno primario del músculo, tipo no especificado",G719
Otras miopatías,G72
Miopatía inducida por drogas,G720
Miopatía alcohólica,G721
Miopatía debida a otros agentes tóxicos,G722
Parálisis periódica,G723
"Miopatía inflamatoria, no clasificada en otra parte",G724
Otras miopatías especificadas,G728
"Miopatía, no especificada",G729
Parálisis cerebral,G80
Parálisis cerebral espástica cuadripléjica,G800
Parálisis cerebral espástica dipléjica,G801
Parálisis cerebral espástica hemipléjica,G802
Parálisis cerebral discinética,G803
Parálisis cerebral atáxica,G804
Otros tipos de parálisis cerebral,G808
"Parálisis cerebral, sin otra especificación",G809
Hemiplejía,G81
Hemiplejía flácida,G810
Hemiplejía espástica,G811
"Hemiplejía, no especificada",G819
Paraplejía y cuadriplejía,G82
Paraplejía flácida,G820
Paraplejía espástica,G821
"Paraplejía, no especificada",G822
Cuadriplejía flácida,G823
Cuadriplejía espástica,G824
"Cuadriplejía, no especificada",G825
Otros síndromes paralíticos,G83
Diplejía de los miembros superiores,G830
Monoplejía de miembro inferior,G831
Monoplejía de miembro superior,G832
"Monoplejía, no especificada",G833
Síndrome de la cola de caballo,G834
Otros síndromes paralíticos especificados,G838
"Síndrome paralítico, no especificado",G839
Trastornos del sistema nervioso autónomo,G90
Neuropatía autónoma periférica idiopática,G900
Disautonomía familiar [Síndrome de Riley–Day],G901
Síndrome de Horner,G902
Degeneración de sistemas múltiples,G903
Disreflexia autonómica,G904
Otros trastornos del sistema nervioso autónomo,G908
"Trastorno del sistema nervioso autónomo, no especificado",G909
Hidrocéfalo,G91
Hidrocéfalo comunicante,G910
Hidrocéfalo obstructivo,G911
Hidrocéfalo de presión normal,G912
"Hidrocéfalo postraumático, sin otra especificación",G913
Otros tipos de hidrocéfalo,G918
"Hidrocéfalo, no especificado",G919
Encefalopatía tóxica,G92
Otros trastornos del encéfalo,G93
Quiste cerebral,G930
"Lesión cerebral anóxica, no clasificada en otra parte",G931
Hipertensión intracraneal benigna,G932
Síndrome de fatiga postviral,G933
Encefalopatía no especificada,G934
Compresión del encéfalo,G935
Edema cerebral,G936
Síndrome de Reye,G937
Otros trastornos especificados del encéfalo,G938
"Trastorno del encéfalo, no especificado",G939
Otros trastornos del encéfalo en enfermedades clasificadas en otra parte,G94
Hidrocéfalo en enfermedades infecciosas y parasitarias clasificadas en otra parte (A00–B99),G940
Hidrocéfalo en enfermedad neoplásica (C00–D48),G941
Hidrocéfalo en otras enfermedades clasificadas en otra parte,G942
Otros trastornos encefálicos especificados en enfermedades clasificadas en otra parte,G948
Otras enfermedades de la médula espinal,G95
Siringomielia y siringobulbia,G950
Mielopatías vasculares,G951
"Compresión medular, no especificada",G952
Otras enfermedades especificadas de la médula espinal,G958
"Enfermedad de la médula espinal, no especificada",G959
Otros trastornos del sistema nervioso central,G96
Pérdida de líquido cefalorraquídeo,G960
"Trastornos de las meninges, no clasificados en otra parte",G961
Otros trastornos especificados del sistema nervioso central,G968
"Trastorno del sistema nervioso central, no especificado",G969
"Trastornos del sistema nervioso consecutivos a procedimientos, no clasificados en otra parte",G97
Pérdida de líquido cefalorraquídeo por punción espinal,G970
Otra reacción a la punción espinal y lumbar,G971
Hipotensión intracraneal posterior a anastomosis ventricular,G972
Otros trastornos del sistema nervioso consecutivos a procedimientos,G978
"Trastornos no especificados del sistema nervioso, consecutivos a procedimientos",G979
"Otros trastornos del sistema nervioso, no clasificados en otra parte",G98
Otros trastornos del sistema nervioso en enfermedades clasificadas en otra parte,G99
Neuropatía autonómica en enfermedades metabólicas y endocrinas,G990
Otros trastornos del sistema nervioso autónomo en otras enfermedades clasificadas en otra parte,G991
Mielopatía en enfermedades clasificadas en otra parte,G992
Otros trastornos especificados del sistema nervioso en enfermedades clasificadas en otra parte,G998
Orzuelo y calacio,H00
Orzuelo y otras inflamaciones profundas del párpado,H000
Calacio [chalazión],H001
Otras inflamaciones del párpado,H01
Blefaritis,H010
Dermatosis no infecciosa del párpado,H011
Otras inflamaciones especificadas del párpado,H018
"Inflamación del párpado, no especificada",H019
Otros trastornos de los párpados,H02
Entropión y triquiasis palpebral,H020
Ectropión del párpado,H021
Lagoftalmos,H022
Blefarocalasia,H023
Blefaroptosis,H024
Otros trastornos funcionales del párpado,H025
Xantelasma del párpado,H026
Otros trastornos degenerativos del párpado y del área periocular,H027
Otros trastornos especificados del párpado,H028
"Trastorno del párpado, no especificado",H029
Trastornos del párpado en enfermedades clasificadas en otra parte,H03
Infección e infestación parasitarias del párpado en,H030
Compromiso del párpado en enfermedades infecciosas,H031
Compromiso del párpado en enfermedades clasificadas en otra parte,H038
Trastornos del aparato lagrimal,H04
Dacrioadenitis,H040
Otros trastornos de la glándula lagrimal,H041
Epífora,H042
Inflamación aguda y la no especificada de las vías lagrimales,H043
Inflamación crónica de las vías lagrimales,H044
Estenosis e insuficiencia de las vías lagrimales,H045
Otros cambios de las vías lagrimales,H046
Otros trastornos especificados del aparato lagrimal,H048
"Trastorno del aparato lagrimal, no especificado",H049
Trastornos de la órbita,H05
Inflamación aguda de la órbita,H050
Trastornos inflamatorios crónicos de la órbita,H051
Afecciones exoftálmicas,H052
Deformidad de la órbita,H053
Enoftalmia,H054
"Retención de cuerpo extraño (antiguo), consecutiva a herida penetrante de la órbita",H055
Otros trastornos de la órbita,H058
"Trastorno de la órbita, no especificado",H059
Trastornos del aparato lagrimal y de la órbita en enfermedades clasificadas en otra parte,H06
Trastornos del aparato lagrimal en enfermedades clasificadas en otra parte,H060
Infección e infestación parasitarias de la órbita en enfermedades clasificadas en otra parte,H061
Exoftalmia hipertiroidea (E05.–),H062
Otros trastornos de la órbita en enfermedades clasificadas en otra parte,H063
Conjuntivitis,H10
Conjuntivitis mucopurulenta,H100
Conjuntivitis atópica aguda,H101
Otras conjuntivitis agudas,H102
"Conjuntivitis aguda, no especificada",H103
Conjuntivitis crónica,H104
Blefaroconjuntivitis,H105
Otras conjuntivitis,H108
"Conjuntivitis, no especificada",H109
Otros trastornos de la conjuntiva,H11
Pterigión,H110
Degeneraciones y depósitos conjuntivales,H111
Cicatrices conjuntivales,H112
Hemorragia conjuntival,H113
Otros trastornos vasculares y quistes conjuntivales,H114
Otros trastornos especificados de la conjuntiva,H118
"Trastorno de la conjuntiva, no especificado",H119
Trastornos de la conjuntiva en enfermedades clasificadas en otra parte,H13
Infección filárica de la conjuntiva (B74.–),H130
Conjuntivitis en enfermedades infecciosas y parasitarias clasificadas en otra parte,H131
Conjuntivitis en otras enfermedades clasificadas en otra parte,H132
Penfigoide ocular (L12.–),H133
Otros trastornos de la conjuntiva en enfermedades clasificadas en otra parte,H138
Trastornos de la esclerótica,H15
Escleritis,H150
Episcleritis,H151
Otros trastornos de la esclerótica,H158
"Trastorno de la esclerótica, no especificado",H159
Queratitis,H16
Úlcera de la córnea,H160
Otras queratitis superficiales sin conjuntivitis,H161
Queratoconjuntivitis,H162
Queratitis intersticial y profunda,H163
Neovascularización de la córnea,H164
Otras queratitis,H168
"Queratitis, no especificada",H169
Opacidades y cicatrices corneales,H17
Leucoma adherente,H170
Otras opacidades centrales de la córnea,H171
Otras opacidades o cicatrices de la córnea,H178
"Cicatriz u opacidad de la córnea, no especificada",H179
Otros trastornos de la córnea,H18
Pigmentaciones y depósitos en la córnea,H180
Queratopatía vesicular,H181
Otros edemas de la córnea,H182
Cambios en las membranas de la córnea,H183
Degeneración de la córnea,H184
Distrofia hereditaria de la córnea,H185
Queratocono,H186
Otras deformidades de la córnea,H187
Otros trastornos especificados de la córnea,H188
"Trastorno de la córnea, no especificado",H189
Trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte,H19
Escleritis y episcleritis en enfermedades clasificadas en otra parte,H190
Queratitis y queratoconjuntivitis por herpes simple (B00.5),H191
"Queratitis y queratoconjuntivitis en enfermedades infecciosas y parasitarias, clasificadas en otra parte",H192
Queratitis y queratoconjuntivitis en otras enfermedades clasificadas en otra parte,H193
Otros trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte,H198
Iridociclitis,H20
Iridociclitis aguda y subaguda,H200
Iridociclitis crónica,H201
Iridociclitis inducida por trastorno del cristalino,H202
Otras iridociclitis especificadas,H208
"Iridociclitis, no especificada",H209
